json_file	key	lang	old_value	new_value
domica.json	domicaPageTitle	eng	Domica Cave	Domica
domica.json	domicaParagraph1	eng	Domica Cave is part of the more than 30 km long Domica–Baradla cave system, which extends across two countries and is intersected by the state border.\nIt was formed in light Wetterstein limestones in the southwestern part of the Silica Plateau by the erosive activity of the underground Styx River and the Domica Stream.	Domica Cave is part of the more than 30 km long Domica–Baradla cave system, which extends across two countries and is intersected by the state border.\nIt was formed in light Wetterstein limestones in the southwestern part of the Silica Plateau by the erosive activity of the underground Styx and Domický Brook.
domica.json	cap7	eng	Discoverer of Domica Cave, Ján Majko, in Old Domica, 1932	Discoverer of Domica Cave, Ján Majko in Old Domica, 1932
gombasecka.json	gombaseckaPageTitle	eng	Gombasecká Cave	Gombasecká jaskyňa
gombasecka.json	gombaseckaParagraph1	eng	It is located in the western part of the Silica Plateau, approximately 2 km south of the village of Slavec. The cave was formed by the activity of the Čierny Potok stream in Mesozoic limestones of the Silica Plateau.\nTogether with the nearby Silica Ice Cave, it forms part of the extensive Silica–Gombasek underground hydrological system, most of which remains unexplored.	It is located in the western part of the Silica Plateau, approximately 2 km south of the village of Slavec. The cave was formed by the activity of the Čierny Potok stream in Mesozoic limestones of the Silická Plateau.\nTogether with the nearby Silica Ice Cave, it forms part of the extensive Silica–Gombasek underground hydrological system, most of which remains unexplored.
gombasecka.json	gombaseckaInfoOpenSinceValue	eng	1955.0	1955
beke.json	bekePageTitle	eng	Béke Cave	Jaskyňa Béke
dobsinska.json	dobsinskaPageTitle	eng	Dobšinská Ice Cave	Dobšinská ľadová jaskyňa
dobsinska.json	dobsinskaParagraph1	hun	Több mint 110 000 m³ jégtömegével a világ legnagyobb jégtömegű barlangjai közé tartozik. A Sztracenai-barlang kiterjedt rendszerének része. A Hnilec folyó földalatti vízfolyásai alakították ki a középső triász korszakbeli steinalmi és wettersteini mészkövekben, a Szlovák Paradicsom Nemzeti Park délnyugati részében.	Több mint 110 000 m³ jégtömegével a világ legnagyobb jégtömegű barlangjai közé tartozik. A Sztracenai-barlang kiterjedt rendszerének része. A Hnilec folyó földalatti vízfolyásai alakították ki a középső triász korszakbeli Steinalmi és Wettersteini mészkövekben, a Szlovák Paradicsom Nemzeti Park délnyugati részében.
jasovska.json	jasovskaPageTitle	eng	Jasovská Cave	Jasovská jaskyňa
